person,shelfmark,role,certainty,year_est,place,doc_type
Efraim b. Moses,Bodl. MS Heb. a.3.4v,Witness,attested,1015,Ramle,ketubba (court copy)
Yeshu'a b. Khatim,Bodl. MS Heb. a.3.4v,Witness,attested,1015,Ramle,ketubba (court copy)
Menahem b. Isaac,Bodl. MS Heb. a.3.4v,Witness,attested,1015,Ramle,ketubba (court copy)
Menahem b. Isaac,Bodl. MS Heb. a.3.4v,Declarant,attested,1015,Ramle,ketubba (court copy)
David b. Isaac ha-Kohen (the scribe),Bodl. MS Heb. a.3.4v,Scribe,attested,1015,Ramle,ketubba (court copy)
David b. Isaac ha-Kohen (the scribe),Bodl. MS Heb. a.3.4v,Witness,attested,1015,Ramle,ketubba (court copy)
Jehuda [?] (OS41),Bodl. MS Heb. a.3.4v,Witness,attested,1015,Ramle,ketubba (court copy)
Bishr b. Abraham ha-Levi,Bodl. MS Heb. a.3.4v,Witness,attested,1015,Ramle,ketubba (court copy)
Parhon b. Mevorakh ha-Levi,Bodl. MS Heb. a.3.4v,Witness,attested,1015,Ramle,ketubba (court copy)
Mevorakh b. Nathan,Bodl. MS Heb. a.3.4v,Witness,attested,1015,Ramle,ketubba (court copy)
Isaac b. [...] (OS41),Bodl. MS Heb. a.3.4v,Witness,attested,1015,Ramle,ketubba (court copy)
Habib b. David (Abu Ali),Bodl. MS Heb. a.3.4v,Witness,attested,1015,Ramle,ketubba (court copy)
"Isaac b. Joseph (groom, OS42)",Bodl. MS Heb. b.12.31,Groom,attested,1050,Fustat,ketubba
"Joseph (father of Isaac, OS42)",Bodl. MS Heb. b.12.31,GroomFather,attested,1050,Fustat,ketubba
Karima bt. Abraham,Bodl. MS Heb. b.12.31,Bride,attested,1050,Fustat,ketubba
Abraham (father of Karima),Bodl. MS Heb. b.12.31,BrideFather,attested,1050,Fustat,ketubba
Abraham (father of Karima),Bodl. MS Heb. b.12.31,Agent,attested,1050,Fustat,ketubba
Jacob b. Hillel b. Awkal,Bodl. MS Heb. b.12.31,WitnessOfAgency,attested,1050,Fustat,ketubba
"Isaac b. Joseph (groom, OS42)",Bodl. MS Heb. b.12.31,WitnessOfAgency,attested,1050,Fustat,ketubba
"Sedaqa (groom, OS43)",ENA 4020.38v,Groom,attested,1030,Fustat,ketubba (fragment)
Abraham b. Musallam,ENA 4020.38v,Scribe,attested,1030,Fustat,ketubba (fragment)
Abraham b. Musallam,ENA 4020.38v,Witness,attested,1030,Fustat,ketubba (fragment)
Abraham ha-Kohen b. Khalaf,ENA 4020.38v,Witness,attested,1030,Fustat,ketubba (fragment)
Nathana'el ha-Levi b. Rawh,ENA 4020.38v,Witness,attested,1030,Fustat,ketubba (fragment)
Barakat b. Mubarak,ENA 4020.38v,Witness,attested,1030,Fustat,ketubba (fragment)
[...] ha-Kohen b. Joseph,ENA 4020.38v,Witness,attested,1030,Fustat,ketubba (fragment)
Levi ha-Levi bar Jacob,ENA 4020.38v,Witness,attested,1030,Fustat,ketubba (fragment)
Barakat b. Benjamin,ENA 4020.38v,Witness,attested,1030,Fustat,ketubba (fragment)
Berakha b. Rawh (Abu'l-Barakat),ENA 4020.38v,Mentioned,contextual,1030,Fustat,ketubba (fragment)
"David (groom, OS44)",ENA NS 3.23 + ENA NS 3.27,Groom,reconstructed,1020,Unknown,ketubba (two fragments)
"Husn (bride, OS44)",ENA NS 3.23 + ENA NS 3.27,Bride,attested,1020,Unknown,ketubba (two fragments)
"Husn (bride, OS46)",II Firk. Heb. A. 717r,Bride,attested,1050,Unknown,ketubba (fragment)
[...] ha-Kohen (OS46),II Firk. Heb. A. 717r,Witness,attested,1050,Unknown,ketubba (fragment)
Jehuda b. Khalaf,II Firk. Heb. A. 717r,Witness,reconstructed,1050,Unknown,ketubba (fragment)
Semah b. Asa (nasi),Bodl. MS Heb. d.66.49v-50r,Nasi,attested,1036,Fustat,formulary of betrothal with mixed-marriage clauses
Yedidya (nasi),Brit. Mus. Or. 5532,Nasi,attested,1081,Egypt (region),book of prayers with marriage formula
Yehya b. Abraham,Bodl. MS Heb. a.3.42,Groom,attested,1117,Fustat,mixed Karaite-Rabbanite ketubba (Karaite formula)
"Abraham (physician, father of Yehya)",Bodl. MS Heb. a.3.42,GroomFather,attested,1117,Fustat,mixed Karaite-Rabbanite ketubba (Karaite formula)
Rayyisa bt. Sa'adya,Bodl. MS Heb. a.3.42,Bride,attested,1117,Fustat,mixed Karaite-Rabbanite ketubba (Karaite formula)
Sa'adya b. David (father of Rayyisa),Bodl. MS Heb. a.3.42,BrideFather,attested,1117,Fustat,mixed Karaite-Rabbanite ketubba (Karaite formula)
Yehoshua ha-Kohen b. Sedaqa ha-Kohen,Bodl. MS Heb. a.3.42,Agent,attested,1117,Fustat,mixed Karaite-Rabbanite ketubba (Karaite formula)
Nathan b. Joseph b. Nahorai,Bodl. MS Heb. a.3.42,WitnessOfAgency,attested,1117,Fustat,mixed Karaite-Rabbanite ketubba (Karaite formula)
Isaac ha-Parnas b. Sedaqa,Bodl. MS Heb. a.3.42,WitnessOfAgency,attested,1117,Fustat,mixed Karaite-Rabbanite ketubba (Karaite formula)
David ha-Kohen b. Sedaqa ha-Kohen,Bodl. MS Heb. a.3.42,Witness,attested,1117,Fustat,mixed Karaite-Rabbanite ketubba (Karaite formula)
Sedaqa ha-Levi b. Efraim,Bodl. MS Heb. a.3.42,Witness,attested,1117,Fustat,mixed Karaite-Rabbanite ketubba (Karaite formula)
Mevorakh b. El'azar b. [...] Yehoshua,Bodl. MS Heb. a.3.42,Witness,attested,1117,Fustat,mixed Karaite-Rabbanite ketubba (Karaite formula)
Hasdai b. Hizkiyahu (nasi),Bodl. MS Heb. a.3.42,Nasi,attested,1117,Fustat,mixed Karaite-Rabbanite ketubba (Karaite formula)
Hizkiyahu b. Solomon (nasi),Bodl. MS Heb. a.3.42,Mentioned,attested,1117,Fustat,mixed Karaite-Rabbanite ketubba (Karaite formula)
"[...] b. Mansur (groom, OS57)",ENA NS 18.37,Groom,attested,1035,Fustat,mixed Karaite-Rabbanite deed of betrothal (Karaite formula)
"Mansur (father of groom, OS57)",ENA NS 18.37,GroomFather,attested,1035,Fustat,mixed Karaite-Rabbanite deed of betrothal (Karaite formula)
Karima bt. Hasan,ENA NS 18.37,Bride,attested,1035,Fustat,mixed Karaite-Rabbanite deed of betrothal (Karaite formula)
Hasan b. Moses,ENA NS 18.37,BrideFather,attested,1035,Fustat,mixed Karaite-Rabbanite deed of betrothal (Karaite formula)
Hasan b. Moses,ENA NS 18.37,Agent,attested,1035,Fustat,mixed Karaite-Rabbanite deed of betrothal (Karaite formula)
Sedaqa b. Nahum ha-Kohen,ENA NS 18.37,WitnessOfAgency,attested,1035,Fustat,mixed Karaite-Rabbanite deed of betrothal (Karaite formula)
Moses b. Siba'a,ENA NS 18.37,WitnessOfAgency,attested,1035,Fustat,mixed Karaite-Rabbanite deed of betrothal (Karaite formula)
Yefet ha-Kohen b. Eli b. Zita,ENA NS 18.37,Witness,attested,1035,Fustat,mixed Karaite-Rabbanite deed of betrothal (Karaite formula)
Isaac b. Jehuda ha-Levi,ENA NS 18.37,Witness,attested,1035,Fustat,mixed Karaite-Rabbanite deed of betrothal (Karaite formula)
Sahlawaya b. Hayyim,ENA NS 18.37,Witness,attested,1035,Fustat,mixed Karaite-Rabbanite deed of betrothal (Karaite formula)
David b. Moses (OS57),ENA NS 18.37,Witness,attested,1035,Fustat,mixed Karaite-Rabbanite deed of betrothal (Karaite formula)
Sa'id b. [...] (OS57),ENA NS 18.37,Witness,attested,1035,Fustat,mixed Karaite-Rabbanite deed of betrothal (Karaite formula)
Efraim b. Mevasser b. Solomon,ENA NS 18.37,Scribe,attested,1035,Fustat,mixed Karaite-Rabbanite deed of betrothal (Karaite formula)
Efraim b. Mevasser b. Solomon,ENA NS 18.37,Witness,attested,1035,Fustat,mixed Karaite-Rabbanite deed of betrothal (Karaite formula)
Mu'ammar b. S[edaqa],ENA NS 18.37,Witness,attested,1035,Fustat,mixed Karaite-Rabbanite deed of betrothal (Karaite formula)
David b. Isaac ha-Levi (Abu Nasr),ENA NS 18.37,Mentioned,contextual,1035,Fustat,mixed Karaite-Rabbanite deed of betrothal (Karaite formula)
Eli b. Amram (he-haver),Mosseri VII.43 + TS Ar.53.53,Judge,attested,1055,Fustat,record of joint Karaite-Rabbanite court session (two drafts)
Josiah b. Solomon (nasi),Mosseri VII.43 + TS Ar.53.53,Judge,attested,1055,Fustat,record of joint Karaite-Rabbanite court session (two drafts)
Josiah b. Solomon (nasi),Mosseri VII.43 + TS Ar.53.53,Nasi,attested,1055,Fustat,record of joint Karaite-Rabbanite court session (two drafts)
Solomon b. David (nasi),Mosseri VII.43 + TS Ar.53.53,Mentioned,attested,1055,Fustat,record of joint Karaite-Rabbanite court session (two drafts)
Mevorakh b. Israel (heir),Mosseri VII.43 + TS Ar.53.53,Party,attested,1055,Fustat,record of joint Karaite-Rabbanite court session (two drafts)
Samuel b. Yehuda (the orphan),Mosseri VII.43 + TS Ar.53.53,Party,attested,1055,Fustat,record of joint Karaite-Rabbanite court session (two drafts)
Umm Samuel bt. Aaron,Mosseri VII.43 + TS Ar.53.53,Party,attested,1055,Fustat,record of joint Karaite-Rabbanite court session (two drafts)
Aaron b. Isaac,Mosseri VII.43 + TS Ar.53.53,Guarantor,attested,1055,Fustat,record of joint Karaite-Rabbanite court session (two drafts)
Yehuda b. Tammam,Mosseri VII.43 + TS Ar.53.53,Mentioned,attested,1055,Fustat,record of joint Karaite-Rabbanite court session (two drafts)
Rayyisa bt. Tammam,Mosseri VII.43 + TS Ar.53.53,Mentioned,attested,1055,Fustat,record of joint Karaite-Rabbanite court session (two drafts)
Rahma bt. Tammam,Mosseri VII.43 + TS Ar.53.53,Mentioned,attested,1055,Fustat,record of joint Karaite-Rabbanite court session (two drafts)
Israel b. Tammam [?],Mosseri VII.43 + TS Ar.53.53,Mentioned,reconstructed,1055,Fustat,record of joint Karaite-Rabbanite court session (two drafts)
Tammam,Mosseri VII.43 + TS Ar.53.53,Mentioned,attested,1055,Fustat,record of joint Karaite-Rabbanite court session (two drafts)
Abraham b. Solomon (Abu Kathir),Mosseri VII.43 + TS Ar.53.53,Trustee,attested,1055,Fustat,record of joint Karaite-Rabbanite court session (two drafts)
Nahray b. Nissim,Mosseri VII.43 + TS Ar.53.53,Trustee,attested,1055,Fustat,record of joint Karaite-Rabbanite court session (two drafts)
Eli ha-Kohen ha-parnas b. Ya'ish,Mosseri VII.43 + TS Ar.53.53,Trustee,attested,1055,Fustat,record of joint Karaite-Rabbanite court session (two drafts)
David b. Josiah,Mosseri VII.43 + TS Ar.53.53,Mentioned,contextual,1055,Fustat,record of joint Karaite-Rabbanite court session (two drafts)
Efraim b. Shemarya,TS 16.50,Mentioned,contextual,1043,Fustat,deed of betrothal (draft) + deed of attorney
Efraim b. Shemarya,TS 12.621,Mentioned,contextual,1038,Fustat,ketubba (fragment)
Efraim b. Shemarya,TS 24.13,Mentioned,contextual,1062,Fustat,ketubba
Efraim b. Shemarya,ENA 4020.38v,Mentioned,contextual,1030,Fustat,ketubba (fragment)
Efraim b. Shemarya,Mosseri VII.43 + TS Ar.53.53,Mentioned,contextual,1055,Fustat,record of joint Karaite-Rabbanite court session (two drafts)
Solomon b. Jehuda (Gaon),TS 12.644,Mentioned,contextual,1030,Fustat,deed of betrothal
Solomon b. Jehuda (Gaon),ENA 4020.38v,Mentioned,contextual,1030,Fustat,ketubba (fragment)
Solomon b. Jehuda (Gaon),Mosseri VII.43 + TS Ar.53.53,Mentioned,contextual,1055,Fustat,record of joint Karaite-Rabbanite court session (two drafts)
Nathan b. Abraham (Gaon),ENA 4020.38v,Mentioned,contextual,1030,Fustat,ketubba (fragment)
Abraham b. Solomon Gaon,TS 24.13,Mentioned,contextual,1062,Fustat,ketubba
Halfon ha-Levi b. Solomon,ENA 4020.38v,Mentioned,contextual,1030,Fustat,ketubba (fragment)
Halfon b. Menashe,TS 24.45 + TS NS J 86,Mentioned,contextual,1088,Fustat,ketubba
David ha-Kohen b. Babad,TS 12.644,Mentioned,contextual,1030,Fustat,deed of betrothal
Mevorakh b. Nathan b. Nisan,CUL Add. 3430,Mentioned,contextual,1028,Jerusalem,ketubba
Tovya b. Moses,TS AS 145.307r + TS Misc. 29.58a r,Mentioned,contextual,1038,Fustat,deed of betrothal
Zakkai b. Yedidya,Brit. Mus. Or. 5532,Mentioned,contextual,1081,Egypt (region),book of prayers with marriage formula
Solomon b. David b. Hasdai (nasi),TS 16.67,Mentioned,contextual,1201,Cairo,ketubba
Solomon Yedidya (nasi),Chapter 9 (Olszowy-Schlanger),Mentioned,contextual,,Unknown,secondary source unit
Joseph b. Israel al-Tustari,Chapter 3 (Olszowy-Schlanger),Mentioned,contextual,,Unknown,secondary source unit
Sa'id b. Israel al-Tustari,Chapter 3 (Olszowy-Schlanger),Mentioned,contextual,,Unknown,secondary source unit
Hana bt. Israel al-Tustari,Chapter 3 (Olszowy-Schlanger),Mentioned,contextual,,Unknown,secondary source unit
Tov b. David (Abu'l-Tayyib),Chapter 3 (Olszowy-Schlanger),Mentioned,contextual,,Unknown,secondary source unit
Efraim b. Sa'id b. Malachi,Chapter 3 (Olszowy-Schlanger),Mentioned,contextual,,Unknown,secondary source unit
Solomon b. Aaron al-Baghdadi,Chapter 3 (Olszowy-Schlanger),Mentioned,contextual,,Unknown,secondary source unit
Sedaqa b. Amram (Damascus),Chapter 3 (Olszowy-Schlanger),Mentioned,contextual,,Unknown,secondary source unit
Menashe ibn al-Qazzaz,Chapter 3 (Olszowy-Schlanger),Mentioned,contextual,,Unknown,secondary source unit
Adiya b. Menashe (al-Qazzaz),Chapter 3 (Olszowy-Schlanger),Mentioned,contextual,,Unknown,secondary source unit
Samuel b. Menashe (al-Qazzaz),TS 12.621,Mentioned,contextual,1038,Fustat,ketubba (fragment)
Mu'ammala bt. Samuel (al-Qazzaz),TS 12.621,Mentioned,contextual,1038,Fustat,ketubba (fragment)
Husn bt. Jacob b. Joseph,Chapter 9 (Olszowy-Schlanger),Mentioned,contextual,,Unknown,secondary source unit
Israel b. Simha of Basra,Chapter 9 (Olszowy-Schlanger),Mentioned,contextual,,Unknown,secondary source unit
Siba'a b. Moses,TS 24.7,Mentioned,contextual,1004,Cairo,ketubba
Efraim b. Siba'a,TS 24.7,Mentioned,contextual,1004,Cairo,ketubba
Menashe b. Siba'a,TS 24.7,Mentioned,contextual,1004,Cairo,ketubba
Joseph ibn Awkal,Bodl. MS Heb. b.12.31,Mentioned,contextual,1050,Fustat,ketubba
Hillel b. Awkal,Bodl. MS Heb. b.12.31,Mentioned,contextual,1050,Fustat,ketubba
Joseph ibn Awkal,TS 12.621,Mentioned,contextual,1038,Fustat,ketubba (fragment)
Abraham b. Isaac b. Furat,Mosseri VII.43 + TS Ar.53.53,Mentioned,contextual,1055,Fustat,record of joint Karaite-Rabbanite court session (two drafts)
Yehuda ha-Kohen b. Joseph (ha-Rav),Mosseri VII.43 + TS Ar.53.53,Mentioned,contextual,1055,Fustat,record of joint Karaite-Rabbanite court session (two drafts)
Yeshu'a b. Joseph (Alexandria),Mosseri VII.43 + TS Ar.53.53,Mentioned,contextual,1055,Fustat,record of joint Karaite-Rabbanite court session (two drafts)
Bahiyya bt. Solomon b. Sa'adya,Mosseri VII.43 + TS Ar.53.53,Mentioned,contextual,1055,Fustat,record of joint Karaite-Rabbanite court session (two drafts)
Eli b. Ephraim,TS 24.13,Mentioned,contextual,1062,Fustat,ketubba
